Species,Individual,Treatment,Start,End,Start,End,Start,End,Wet Weight (g),Date,Pressure,Tube ID,Treatments,Description,,Species_Count,Num
Cricket,A,N,300,500,700,900,1050,1250,0.0441,19-Jul,29.81,,N,Nothing,,Cricket+Gladicosa,20
Cricket,A,C,2200,2400,2550,2750,2950,3150,0.0441,19-Jul,29.81,,C,Chemical,,Lynx+Pisaurina,14
Cricket,A,B,4400,4600,4750,4950,5100,5300,0.0441,19-Jul,29.81,,B,Both chemical and visual,,Phiddipus+Pisaurina,20
Cricket,B,C,6300,6500,6650,6850,7050,7250,0.0453,19-Jul,29.81,,,,,TRRA+Gladicosa,20
Cricket,B,N,8050,8250,8400,8600,8800,9000,0.0453,19-Jul,29.81,,,,,MEFE+Pisaurina,20
Cricket,B,B,9950,10150,10375,10575,10800,11000,0.0453,19-Jul,29.81,,Times,,,ONAS+Gladicosa,16
Cricket,C,N,11950,12150,12300,12500,12675,12875,0.0122,19-Jul,29.81,,Measurement,200 sec,,,
Cricket,C,B,13650,13850,14000,14200,14375,14575,0.0122,19-Jul,29.81,,Acclimation,10 min,,,
Cricket,C,C,15300,15500,15675,15875,16050,16250,0.0122,19-Jul,29.81,,Rest,150 sec,,,
Cricket,Blank,Blank,16600,16800,17000,17200,17350,17550,NA,19-Jul,29.81,,,,,,
Cricket,Blank,Blank,0,200,350,550,700,900,NA,20-Jul,29.81,,Volume adjustment notes,,,,
Cricket,D,N,1620,1820,1970,2170,2350,2550,0.0712,20-Jul,29.81,,For 24 Aug Lynx measurements and all dates after 24 Aug:,,,,
Cricket,D,C,3220,3420,3570,3770,3920,4120,0.0712,20-Jul,29.81,,,Removed O2 sensor,,,
Cricket,D,B,4770,4970,5120,5320,5540,5740,0.0712,20-Jul,29.81,,,Removed 24 inches of tubing,,,
Cricket,E,B,6500,6700,6850,7050,7200,7400,0.0658,20-Jul,29.81,,,,,,
Cricket,E,C,8100,8300,8450,8650,8800,9000,0.0658,20-Jul,29.81,,,,,,
Cricket,E,N,9650,9850,10000,10200,10350,10550,0.0658,20-Jul,29.81,,,,,,
Cricket,F,C,11400,11600,11800,12000,12150,12350,0.0688,20-Jul,29.76,,,,,,
Cricket,F,N,13000,13200,13350,13550,13700,13900,0.0688,20-Jul,29.76,,,,,,
Cricket,F,B,14600,14800,14950,15150,15300,15500,0.0688,20-Jul,29.76,,,,,,
Cricket,G,N,16150,16350,16500,16700,16875,17075,0.0413,20-Jul,29.77,,,,,,
Cricket,G,C,17775,17975,18125,18325,18475,18675,0.0413,20-Jul,29.77,,,,,,
Cricket,G,B,19400,19600,19750,19950,20100,20300,0.0413,20-Jul,29.77,,,,,,
Cricket,H,B,21550,21750,21900,22100,22250,22450,0.0486,20-Jul,29.77,,,,,,
Cricket,H,N,23175,23375,23525,23725,23885,24085,0.0486,20-Jul,29.77,,,,,,
Cricket,H,C,24750,24950,25100,25300,25450,25650,0.0486,20-Jul,29.77,,,,,,
Cricket,Blank,Blank,0,200,350,550,700,900,NA,21-Jul,29.79,,,,,,
Cricket,I,B,1600,1800,1950,2150,2300,2500,0.0316,21-Jul,29.79,,,,,,
Cricket,I,N,3300,3500,3650,3850,4000,4200,0.0316,21-Jul,29.79,,,,,,
Cricket,I,C,4875,5075,5255,5455,5605,5805,0.0316,21-Jul,29.79,,,,,,
Cricket,J,B,6540,6740,6890,7090,7240,7440,0.0413,21-Jul,29.79,,,,,,
Cricket,J,C,8130,8330,8500,8700,8925,9125,0.0413,21-Jul,29.79,,,,,,
Cricket,J,N,9800,10000,10175,10375,10530,10730,0.0413,21-Jul,29.79,,,,,,
Cricket,K,B,11400,11600,11760,11960,12110,12310,0.0516,21-Jul,29.76,,,,,,
Cricket,K,C,13000,13200,13350,13550,13700,13900,0.0516,21-Jul,29.76,,,,,,
Cricket,K,N,14565,14765,14915,15115,15265,15465,0.0516,21-Jul,29.76,,,,,,
Cricket,L,N,16150,16350,16500,16700,16850,17050,0.0871,21-Jul,29.76,,,,,,
Cricket,L,C,17700,17900,18050,18250,18400,18600,0.0871,21-Jul,29.76,,,,,,
Cricket,L,B,19350,19550,19700,19900,20050,20250,0.0871,21-Jul,29.76,,,,,,
TRRA,A,C,300,500,700,900,1050,1250,0.0135,22-Jul,29.87,TA22J19,,,,,
TRRA,A,N,2300,2500,2800,3000,3300,3500,0.0135,22-Jul,29.87,TA22J19,,,,,
TRRA,A,B,4650,4850,5150,5350,5600,5800,0.0135,22-Jul,29.87,TA22J19,,,,,
TRRA,B,N,6750,6950,7200,7400,7600,7800,0.0306,22-Jul,29.85,TB22J19,,,,,
TRRA,B,C,8700,8900,9200,9400,9700,9900,0.0306,22-Jul,29.83,TB22J19,,,,,
TRRA,B,B,10900,11100,11200,11400,11600,11800,0.0306,22-Jul,29.8,TB22J19,,,,,
TRRA,C,C,12950,13150,13350,13550,13700,13900,0.0183,22-Jul,29.8,TC22J19,,,,,
TRRA,C,N,14950,15150,15300,15500,15800,16000,0.0183,22-Jul,29.79,TC22J19,,,,,
TRRA,C,B,16800,17000,17200,17400,17600,17800,0.0183,22-Jul,29.79,TC22J19,,,,,
TRRA,D,C,18400,18600,18750,18950,19100,19300,0.0123,22-Jul,29.77,TD22J19,,,,,
TRRA,D,N,20050,20250,20450,20650,20800,21000,0.0123,22-Jul,29.77,TD22J19,,,,,
TRRA,D,B,21800,22000,22200,22400,22600,22800,0.0123,22-Jul,29.76,TD22J19,,,,,
TRRA,E,B,23950,24150,24300,24500,24700,24900,0.0261,22-Jul,29.75,TE22J19,,,,,
TRRA,E,N,25700,25900,26100,26300,26600,26800,0.0261,22-Jul,29.75,TE22J19,,,,,
TRRA,E,C,27800,28000,28300,28500,28650,28850,0.0261,22-Jul,29.75,TE22J19,,,,,
TRRA,Blank,Blank,29350,29550,29700,29900,30150,30350,NA,22-Jul,29.75,,,,,,
TRRA,BlankWet,BlankWet,30500,30700,30900,31100,31300,31500,NA,22-Jul,29.75,,,,,,
TRRA,F,B,150,350,500,700,850,1050,0.0243,24 Jul,29.94,TF24J19,,,,,
TRRA,F,N,2200,2400,2550,2750,2950,3150,0.0243,24 Jul,29.94,TF24J19,,,,,
TRRA,F,C,3950,4150,4350,4550,4750,4950,0.0243,24 Jul,29.95,TF24J19,,,,,
TRRA,G,B,5850,6050,6200,6400,6550,6750,0.0151,24 Jul,29.95,TG24J19,,,,,
TRRA,G,C,7525,7725,7850,8050,8250,8450,0.0151,24 Jul,29.94,TG24J19,,,,,
TRRA,G,N,9300,9500,9650,9850,10000,10200,0.0151,24 Jul,29.94,TG24J19,,,,,
TRRA,H,B,11075,11275,11400,11600,11850,12050,0.0272,24 Jul,29.93,TH24J19,,,,,
TRRA,H,C,13250,13450,13850,14050,14200,14400,0.0272,24 Jul,29.93,TH24J19,,,,,
TRRA,H,N,15225,15425,15600,15800,16000,16200,0.0272,24 Jul,29.93,TH24J19,,,,,
TRRA,I,B,17200,17400,17550,17750,17900,18100,0.0186,24 Jul,29.93,TI24J19,,,,,
TRRA,I,N,19000,19200,19400,19600,19750,19950,0.0186,24 Jul,29.92,TI24J19,,,,,
TRRA,I,C,20800,21000,21150,21350,21550,21750,0.0186,24 Jul,29.92,TI24J19,,,,,
TRRA,K,C,22500,22700,22850,23050,23250,23450,NA,24 Jul,29.92,LOST,,,,,
TRRA,J,C,24950,25150,25300,25500,25700,25900,0.0471,24 Jul,29.92,TJ24J19,,,,,
TRRA,J,B,26700,26900,27100,27300,27450,27650,0.0471,24 Jul,29.92,TJ24J19,,,,,
TRRA,J,N,28450,28650,28800,29000,29150,29350,0.0471,24 Jul,29.92,TJ24J19,,,,,
TRRA,Blank,Blank,29500,29700,29850,30050,30200,30400,NA,24 Jul,29.92,,,,,,
Lynx,Blank,Blank,0,200,375,575,725,925,NA,26-Jul,30.26,,,,,,
Lynx,A,N,1625,1825,2010,2210,2400,2600,0.0311,26-Jul,30.26,,,,,,
Lynx,A,N_mesh,3360,3560,3710,3910,4075,4275,0.0311,26-Jul,30.26,,,,,,
Lynx,A,C,5000,5200,5350,5550,5700,5900,0.0311,26-Jul,30.26,,,,,,
Lynx,A,B,6750,6950,7150,7350,7500,7700,0.0311,26-Jul,30.26,,,,,,
Phiddipus,A,C,9100,9300,9450,9650,9800,10000,0.0613,26-Jul,30.26,,,,,,
Phiddipus,A,N,10800,11000,11175,11375,11550,11750,0.0613,26-Jul,30.26,,,,,,
Phiddipus,A,B,12500,12700,12855,13055,13280,13480,0.0613,26-Jul,30.26,,,,,,
Phiddipus,B,C,16200,16400,16550,16750,16900,17100,0.0522,26-Jul,30.27,,,,,,
Phiddipus,B,B,17875,18075,18225,18425,18575,18775,0.0522,26-Jul,30.27,,,,,,
Phiddipus,B,N,19500,19700,19875,20075,20225,20425,0.0522,26-Jul,30.27,,,,,,
Phiddipus,C,N,21150,21350,21500,21700,21850,22050,0.0532,26-Jul,30.26,,,,,,
Phiddipus,C,B,22785,22985,23135,23335,23485,23685,0.0532,26-Jul,30.26,,,,,,
Phiddipus,C,C,24425,24625,24775,24975,25125,25325,0.0532,26-Jul,30.26,,,,,,
Phiddipus,D,B,26300,26500,26650,26850,27175,27375,0.0150,26-Jul,30.25,,,,,,
Phiddipus,D,N,28100,28300,28450,28650,28800,29000,0.0150,26-Jul,30.25,,,,,,
Phiddipus,D,C,29700,29900,30050,30250,30400,30600,0.0150,26-Jul,30.25,,,,,,
Cricket,M,N,630,830,980,1180,1330,1530,0.0932,29-Jul,30.01,,,,,,
Cricket,M,B,2350,2550,2750,2950,3100,3300,0.0932,29-Jul,30.01,,,,,,
Cricket,M,C,4050,4250,4475,4675,4825,5025,0.0932,29-Jul,30.01,,,,,,
Cricket,N,B,5800,6000,6150,6350,6500,6700,0.0405,29-Jul,29.99,,,,,,
Cricket,N,N,7400,7600,7750,7950,8100,8300,0.0405,29-Jul,29.99,,,,,,
Cricket,N,C,8975,9175,9325,9525,9675,9875,0.0405,29-Jul,29.99,,,,,,
Cricket,O,B,10530,10730,10880,11080,11240,11440,0.0429,29-Jul,29.98,,,,,,
Cricket,O,N,12150,12350,12500,12700,12850,13050,0.0429,29-Jul,29.98,,,,,,
Cricket,O,C,13730,13930,14080,14280,14430,14630,0.0429,29-Jul,29.98,,,,,,
Cricket,P,C,15475,15675,15825,16025,16175,16375,0.0223,29-Jul,29.96,,,,,,
Cricket,P,B,17085,17285,17435,17635,17865,18065,0.0223,29-Jul,29.96,,,,,,
Cricket,P,N,18800,19000,19150,19350,19500,19700,0.0223,29-Jul,29.96,,,,,,
Cricket,Blank,Blank,19830,20030,20180,20380,20580,20780,NA,29-Jul,29.95,,,,,,
Cricket,Blank,Blank,15615,15815,15965,16165,16345,16545,NA,30-Jul,30.01,,,,,,
Cricket,Q,C,17190,17390,17540,17740,17890,18090,0.0479,30-Jul,30.00,,,,,,
Cricket,Q,N,18775,18975,19125,19325,19475,19675,0.0479,30-Jul,30.00,,,,,,
Cricket,Q,B,20360,20560,20710,20910,21060,21260,0.0479,30-Jul,30.00,,,,,,
Cricket,R,N,21900,22100,22250,22450,22600,22800,0.0465,30-Jul,29.99,,,,,,
Cricket,R,B,23480,23680,23830,24030,24180,24380,0.0465,30-Jul,29.99,,,,,,
Cricket,R,C,25040,25240,25390,25590,25740,25940,0.0465,30-Jul,29.99,,,,,,
Cricket,S,B,26580,26780,26930,27130,27280,27480,0.0351,30-Jul,29.97,,,,,,
Cricket,S,C,28175,28375,28525,28725,28880,29080,0.0351,30-Jul,29.97,,,,,,
Cricket,S,N,29770,29970,30120,30320,30470,30670,0.0351,30-Jul,29.97,,,,,,
TRRA,Blank,Blank,0,200,350,550,700,900,NA,30-Jul,30.01,,,,,,
TRRA,L,C,1570,1770,1920,2120,2270,2470,0.0248,30-Jul,30.01,,,,,,
TRRA,L,N,3250,3450,3600,3800,3950,4150,0.0248,30-Jul,30.01,,,,,,
TRRA,L,B,4875,5075,5270,5470,5630,5830,0.0248,30-Jul,30.01,,,,,,
TRRA,M,N,6500,6700,6875,7075,7230,7430,0.0192,30-Jul,30.01,,,,,,
TRRA,M,C,8150,8350,8500,8700,8850,9050,0.0192,30-Jul,30.01,,,,,,
TRRA,M,B,9790,9990,10140,10340,10490,10690,0.0192,30-Jul,30.01,,,,,,
TRRA,N,C,11375,11575,11725,11925,12075,12275,0.0207,30-Jul,30.01,,,,,,
TRRA,N,N,12940,13140,13290,13490,13680,13880,0.0207,30-Jul,30.01,,,,,,
TRRA,N,B,14575,14775,14925,15125,15275,15475,0.0207,30-Jul,30.01,,,,,,
Cricket,Blank,Blank,0,200,350,550,700,900,NA,31-Jul,30.03,,,,,,
Cricket,T,B,1555,1755,1905,2105,2255,2455,0.0555,31-Jul,30.03,,,,,,
Cricket,T,C,3145,3345,3495,3695,3845,4045,0.0555,31-Jul,30.03,,,,,,
Cricket,T,N,4730,4930,5080,5280,5430,5630,0.0555,31-Jul,30.03,,,,,,
ONAS,Blank,Blank,5775,5975,6080,6280,6430,6630,NA,31-Jul,30.03,,,,,,
ONAS,A,N,7285,7485,7640,7840,7990,8190,0.0671,31-Jul,30.03,,,,,,
ONAS,A,C,8850,9050,9200,9400,9550,9750,0.0671,31-Jul,30.03,,,,,,
ONAS,A,B,10430,10630,10780,10980,11130,11330,0.0671,31-Jul,30.03,,,,,,
ONAS,B,C,11965,12165,12315,12515,12665,12865,0.0694,31-Jul,30.04,,,,,,
ONAS,B,B,13580,13780,13940,14140,14290,14490,0.0694,31-Jul,30.04,,,,,,
ONAS,B,N,15175,15375,15525,15725,15875,16075,0.0694,31-Jul,30.04,,,,,,
ONAS,C,B,16700,16900,17050,17250,17400,17600,0.0693,31-Jul,30.02,,,,,,
ONAS,C,C,18260,18460,18610,18810,19030,19230,0.0693,31-Jul,30.02,,,,,,
ONAS,C,N,19975,20175,20325,20525,20675,20875,0.0693,31-Jul,30.02,,,,,,
ONAS,D,N,21540,21740,21910,22110,22260,22460,0.0996,31-Jul,30.01,,,,,,
ONAS,D,C,23150,23350,23530,23730,23880,24080,0.0996,31-Jul,30.01,,,,,,
ONAS,D,B,24745,24945,25095,25295,25445,25645,0.0996,31-Jul,30.01,,,,,,
ONAS,E,B,26365,26565,26715,26915,27065,27265,0.0683,31-Jul,29.99,,,,,,
ONAS,E,N,27975,28175,28325,28525,28675,28875,0.0683,31-Jul,29.99,,,,,,
ONAS,E,C,29550,29750,29900,30100,30250,30450,0.0683,31-Jul,29.99,,,,,,
ONAS,F,B,31100,31300,31450,31650,31800,32000,0.0379,31-Jul,30.01,,,,,,
ONAS,F,N,32675,32875,33025,33225,33400,33600,0.0379,31-Jul,30.01,,,,,,
ONAS,F,C,34325,34525,34675,34875,35050,35250,0.0379,31-Jul,30.01,,,,,,
ONAS,Blank,Blank,0,200,325,525,675,875,NA,1-Aug,30.05,,,,,,
ONAS,G,C,1525,1725,1875,2075,2225,2425,0.0724,1-Aug,30.06,,,,,,
ONAS,G,B,3025,3225,3380,3580,3745,3945,0.0724,1-Aug,30.06,,,,,,
ONAS,G,N,4630,4830,4980,5180,5345,5545,0.0724,1-Aug,30.06,,,,,,
ONAS,H,B,6200,6400,6550,6750,6900,7100,0.0723,1-Aug,30.08,,,,,,
ONAS,H,C,7760,7960,8110,8310,8460,8660,0.0723,1-Aug,30.08,,,,,,
ONAS,H,N,9400,9600,9750,9950,10115,10315,0.0723,1-Aug,30.08,,,,,,
ONAS,I,N,11000,11200,11350,11550,11700,11900,0.078,1-Aug,30.09,,,,,,
ONAS,I,B,12600,12800,12985,13185,13360,13560,0.078,1-Aug,30.09,,,,,,
ONAS,I,C,14250,14450,14615,14815,15045,15245,0.078,1-Aug,30.09,,,,,,
ONAS,J,B,16000,16200,16410,16610,16760,16960,0.0171,1-Aug,30.09,,,,,,
ONAS,J,C,17625,17825,17975,18175,18325,18525,0.0171,1-Aug,30.09,,,,,,
ONAS,J,N,19200,19400,19550,19750,19950,20150,0.0171,1-Aug,30.09,,,,,,
Phiddipus,Blank,Blank,0,200,350,550,700,900,NA,20-Aug,30.1,,,,,,
Phiddipus,E,N,1580,1780,1930,2130,2300,2500,0.0141,20-Aug,30.1,,,,,,
Phiddipus,E,C,3325,3525,3685,3885,4035,4235,0.0141,20-Aug,30.1,,,,,,
Phiddipus,E,B,4950,5150,5300,5500,5650,5850,0.0141,20-Aug,30.1,,,,,,
Phiddipus,F,N,6525,6725,6875,7075,7225,7425,0.0109,20-Aug,30.1,,,,,,
Phiddipus,F,B,8160,8360,8510,8710,8860,9060,0.0109,20-Aug,30.1,,,,,,
Phiddipus,F,C,9850,10050,10200,10400,10550,10750,0.0109,20-Aug,30.1,,,,,,
Phiddipus,G,C,12200,12400,12575,12775,12925,13125,0.0133,20-Aug,30.09,,,,,,
Phiddipus,G,N,13850,14050,14200,14400,14575,14775,0.0133,20-Aug,30.09,,,,,,
Phiddipus,G,B,15450,15650,15800,16000,16150,16350,0.0133,20-Aug,30.09,,,,,,
Phiddipus,H,C,17000,17200,17350,17550,17700,17900,0.0105,20-Aug,30.08,,,,,,
Phiddipus,H,B,18700,18900,19050,19250,19400,19600,0.0105,20-Aug,30.08,,,,,,
Phiddipus,H,N,20300,20500,20650,20850,21000,21200,0.0105,20-Aug,30.08,,,,,,
Phiddipus,I,N,21900,22100,22250,22450,22600,22800,0.0095,20-Aug,30.08,,,,,,
Phiddipus,I,B,23500,23700,23850,24050,24200,24400,0.0095,20-Aug,30.08,,,,,,
