Individual,Treatment,Start,End,Start,End,Start,End,Wet Weight (g),Date,Pressure
Blank,Blank,0,200,350,550,700,900,NA,20-Jul,29.81
D,N,1620,1820,1970,2170,2350,2550,0.0712,20-Jul,29.81
D,C,3220,3420,3570,3770,3920,4120,0.0712,20-Jul,29.81
D,B,4770,4970,5120,5320,5540,5740,0.0712,20-Jul,29.81
E,B,6500,6700,6850,7050,7200,7400,0.0658,20-Jul,29.81
E,C,8100,8300,8450,8650,8800,9000,0.0658,20-Jul,29.81
E,N,9650,9850,10000,10200,10350,10550,0.0658,20-Jul,29.81
F,C,11400,11600,11800,12000,12150,12350,0.0688,20-Jul,29.76
F,N,13000,13200,13350,13550,13700,13900,0.0688,20-Jul,29.76
F,B,14600,14800,14950,15150,15300,15500,0.0688,20-Jul,29.76
G,N,16150,16350,16500,16700,16875,17075,0.0413,20-Jul,29.77
G,C,17775,17975,18125,18325,18475,18675,0.0413,20-Jul,29.77
G,B,19400,19600,19750,19950,20100,20300,0.0413,20-Jul,29.77
H,B,21550,21750,21900,22100,22250,22450,0.0486,20-Jul,29.77
H,N,23175,23375,23525,23725,23885,24085,0.0486,20-Jul,29.77
H,C,24750,24950,25100,25300,25450,25650,0.0486,20-Jul,29.77